id_client,prenom,nom,email,dateInscription
1,Jean,Dupont,client1@example.com,2020-01-31
2,Marie,Martin,client2@example.com,2020-02-29
3,Pierre,Bernard,client3@example.com,2020-03-31
4,Sophie,Dubois,client4@example.com,2020-04-30
5,Luc,Thomas,client5@example.com,2020-05-31
6,Anne,Robert,client6@example.com,2020-06-30
7,Catherine,Richard,client7@example.com,2020-07-31
8,Paul,Durand,client8@example.com,2020-08-31
9,Elise,Leroy,client9@example.com,2020-09-30
10,Nicolas,Morel,client10@example.com,2020-10-31
